employee_id,name,age,gender,marital_status,department,job_role,education,years_at_company,total_working_years,years_in_current_role,years_since_last_promotion,num_companies_worked,monthly_income,stock_option_level,training_times_last_year,distance_from_home,job_satisfaction,work_life_balance,environment_satisfaction,job_involvement,performance_rating,over_time,attrited,attrition_risk,risk_level
EMP00027,Helen Jones,34,Female,Married,Sales,Manager,3,1.0,15.0,1.0,0.0,5,10777.03,2,2,7,2,3,1,2,3,False,False,0.1729,Low
EMP00028,Jonathan Thomas,29,Male,Married,Research & Development,Healthcare Representative,5,1.0,1.0,1.0,1.0,1,9432.19,1,2,19,2,4,3,2,4,False,False,0.233,Low
EMP00029,Julie Flores,46,Female,Married,Human Resources,Human Resources,4,5.0,6.0,1.0,1.0,2,8137.63,1,4,4,4,3,4,4,3,False,False,0.0238,Low
EMP00030,Emily Wilson,32,Female,Married,Sales,Sales Executive,4,0.0,0.0,0.0,0.0,2,6083.37,1,3,1,4,3,4,3,3,False,False,0.081,Low
EMP00031,Brian White,35,Male,Single,Human Resources,Manager,2,8.0,8.0,8.0,0.0,1,2441.9,0,0,15,1,2,4,4,3,False,False,0.2546,Low
EMP00032,Emma Gutierrez,36,Female,Married,Sales,Sales Representative,1,1.0,1.0,1.0,1.0,0,6302.7,1,3,1,3,2,4,3,3,False,False,0.0547,Low
EMP00033,Lisa Gonzalez,51,Male,Divorced,Sales,Sales Representative,2,7.0,32.0,7.0,0.0,8,16364.9,0,3,10,1,3,4,3,4,False,False,0.0633,Low
EMP00034,Amy Harris,45,Male,Married,Operations,Operations Analyst,4,1.0,8.0,0.0,0.0,2,8886.95,0,2,1,4,3,4,3,3,False,False,0.0376,Low
EMP00035,Nicole Martin,44,Male,Married,Operations,Operations Analyst,3,4.0,7.0,0.0,0.0,6,9251.35,1,3,5,4,2,4,3,3,False,False,0.0416,Low
EMP00036,Brandon Baker,22,Male,Married,Marketing,Marketing Manager,2,4.0,35.0,1.0,1.0,2,13672.26,3,0,1,3,4,4,2,3,False,False,0.0275,Low
EMP00037,Ryan Peterson,31,Male,Single,Research & Development,Research Scientist,4,6.0,6.0,1.0,0.0,1,10110.48,1,2,9,4,3,4,2,4,False,False,0.0453,Low
EMP00038,Deborah Edwards,47,Male,Married,Sales,Sales Executive,2,0.0,11.0,0.0,0.0,3,10488.09,0,0,2,4,3,1,4,3,True,False,0.2965,Low
EMP00039,Joseph Peterson,26,Male,Divorced,Finance,Senior Finance Analyst,3,0.0,0.0,0.0,0.0,3,8358.59,0,3,6,3,3,2,3,3,False,False,0.3713,Medium
EMP00040,William Baker,37,Female,Single,Research & Development,Research Scientist,4,0.0,12.0,0.0,0.0,1,11241.61,1,2,16,3,2,3,3,3,False,False,0.1981,Low
EMP00041,Ashley Campbell,27,Male,Divorced,Sales,Sales Representative,3,1.0,1.0,1.0,1.0,3,6415.01,0,5,9,2,2,3,3,3,False,False,0.4771,Medium
EMP00042,Charles Walker,28,Female,Single,Research & Development,Healthcare Representative,5,5.0,15.0,4.0,2.0,2,14046.04,0,0,29,2,3,1,3,3,False,True,0.4272,Medium
EMP00043,Gary Harris,52,Male,Married,Sales,Manager,3,0.0,20.0,0.0,0.0,1,10927.99,1,4,13,4,2,4,3,3,False,False,0.0414,Low
EMP00044,Diane Phillips,43,Male,Divorced,IT,IT Support,3,3.0,3.0,0.0,0.0,4,8872.72,1,5,9,3,3,1,3,3,True,True,0.3416,Low
EMP00045,Jennifer Rivera,45,Male,Divorced,Sales,Sales Executive,2,10.0,21.0,5.0,2.0,2,11590.16,0,0,5,2,3,2,3,3,False,False,0.0737,Low
EMP00046,Linda Morris,44,Female,Divorced,Finance,Manager,3,0.0,6.0,0.0,0.0,0,10467.31,0,2,3,4,2,4,3,3,True,False,0.2229,Low
EMP00047,Julie Ramos,35,Female,Divorced,Research & Development,Manager,4,2.0,8.0,2.0,0.0,1,7948.31,0,5,19,2,2,1,2,3,True,True,0.6553,High
EMP00048,Richard Gutierrez,30,Female,Married,Research & Development,Research Scientist,5,5.0,5.0,5.0,0.0,3,12310.29,1,4,13,4,3,3,3,3,False,True,0.0331,Low
EMP00049,Elizabeth Adams,33,Female,Married,Research & Development,Manager,5,6.0,6.0,6.0,0.0,1,8673.88,0,1,5,3,3,1,2,3,False,False,0.0703,Low
EMP00050,Shirley Reed,35,Female,Married,Sales,Sales Executive,3,2.0,23.0,2.0,0.0,6,10661.59,1,5,12,2,3,4,4,4,True,True,0.2317,Low
EMP00051,Pamela Morgan,52,Female,Married,Operations,Manufacturing Director,3,9.0,29.0,6.0,0.0,1,16178.33,1,1,6,3,2,4,3,3,False,False,0.0141,Low
EMP00052,Eric Gomez,24,Male,Married,Marketing,Marketing Manager,3,5.0,5.0,0.0,0.0,1,9831.99,1,5,16,3,3,2,4,3,True,True,0.2376,Low
EMP00053,Dennis Cooper,32,Male,Married,Operations,Manufacturing Director,3,2.0,7.0,0.0,0.0,1,9723.77,1,3,1,3,3,1,3,3,False,False,0.0599,Low
EMP00054,Samuel Sanchez,28,Female,Married,IT,Manager,2,1.0,1.0,0.0,0.0,2,7752.05,0,1,11,4,2,3,3,3,False,True,0.2212,Low
EMP00055,Andrew Adams,46,Female,Divorced,Human Resources,Manager,1,0.0,3.0,0.0,0.0,5,8379.75,1,3,24,2,3,4,4,3,True,False,0.4331,Medium
EMP00056,Sarah Edwards,53,Female,Married,IT,Manager,3,0.0,7.0,0.0,0.0,5,10947.1,2,5,1,3,3,3,3,3,False,False,0.0561,Low
EMP00057,Maria Sanchez,39,Female,Single,Sales,Sales Executive,2,2.0,2.0,0.0,0.0,3,4758.9,0,3,9,4,3,3,4,4,True,False,0.4054,Medium
EMP00058,Emily Diaz,40,Female,Married,Sales,Manager,4,4.0,8.0,0.0,0.0,4,8637.92,0,1,15,3,3,2,3,4,True,False,0.3775,Medium
EMP00059,Stephanie Parker,37,Male,Married,Sales,Sales Executive,4,11.0,11.0,0.0,0.0,3,11634.75,0,2,7,1,3,2,2,3,True,False,0.4029,Medium
EMP00060,Timothy Hernandez,40,Male,Married,Research & Development,Research Scientist,3,10.0,10.0,3.0,3.0,4,11377.91,0,3,11,1,3,1,4,3,True,True,0.5278,Medium
EMP00061,Gary Brown,43,Male,Divorced,Research & Development,Laboratory Technician,1,2.0,5.0,0.0,0.0,1,10837.46,2,2,4,3,3,4,2,4,False,False,0.0331,Low
EMP00062,Gary Wilson,40,Male,Married,Sales,Sales Representative,3,5.0,14.0,5.0,0.0,5,8583.2,2,3,2,2,3,2,2,3,False,False,0.0873,Low
EMP00063,Michelle Bailey,41,Male,Divorced,Marketing,Marketing Analyst,3,3.0,3.0,3.0,1.0,2,10155.21,1,3,13,4,4,4,2,3,False,False,0.042,Low
EMP00064,Kathleen Ward,43,Male,Married,Research & Development,Laboratory Technician,3,2.0,6.0,2.0,1.0,4,9233.47,1,3,1,1,3,2,3,4,False,False,0.1445,Low
EMP00065,Deborah Flores,20,Male,Married,Sales,Sales Executive,3,2.0,3.0,2.0,1.0,6,5361.06,0,4,2,4,2,4,4,3,True,False,0.39,Medium
EMP00066,Amy Torres,37,Male,Married,Research & Development,Manager,4,0.0,9.0,0.0,0.0,4,10026.25,1,4,11,3,3,2,4,3,False,False,0.1346,Low
EMP00067,Jerry Davis,39,Female,Single,Sales,Sales Representative,4,0.0,5.0,0.0,0.0,6,5481.44,0,3,22,2,3,4,3,3,False,False,0.513,Medium
EMP00068,Shirley Garcia,40,Female,Single,Marketing,Marketing Manager,3,2.0,2.0,2.0,2.0,4,7161.56,2,4,13,2,3,2,3,3,False,False,0.3652,Medium
EMP00069,Matthew Lopez,35,Male,Single,Sales,Manager,2,3.0,3.0,0.0,0.0,1,7450.31,0,2,7,4,1,3,1,3,True,True,0.5669,Medium
EMP00070,Donna Ramos,38,Male,Married,Operations,Operations Manager,3,1.0,3.0,1.0,1.0,0,6397.07,0,1,17,3,2,3,3,3,False,False,0.1373,Low
EMP00071,Catherine Kelly,30,Male,Single,Marketing,Marketing Analyst,5,0.0,24.0,0.0,0.0,1,14847.63,0,3,19,3,2,3,3,3,False,True,0.2369,Low
EMP00072,Anna Thompson,21,Female,Divorced,Sales,Sales Representative,4,1.0,7.0,1.0,1.0,3,9548.62,0,3,11,4,3,2,3,3,False,False,0.1926,Low
EMP00073,Samuel Green,45,Female,Married,Sales,Sales Representative,1,9.0,10.0,9.0,4.0,1,8425.75,1,2,8,1,3,4,4,3,False,False,0.053,Low
EMP00074,Jack Miller,26,Male,Married,Marketing,Marketing Analyst,4,0.0,27.0,0.0,0.0,6,10833.51,3,5,1,2,3,1,4,3,False,False,0.1584,Low
EMP00075,Jonathan Brown,35,Female,Single,Finance,Manager,2,2.0,2.0,0.0,0.0,3,7740.54,2,1,11,4,3,1,3,3,False,True,0.1821,Low
EMP00076,Michael Hill,30,Male,Single,Finance,Senior Finance Analyst,3,1.0,27.0,1.0,1.0,3,12577.92,2,2,11,1,1,4,3,3,False,False,0.349,Low
EMP00077,Deborah Harris,51,Male,Single,Marketing,Marketing Analyst,4,5.0,7.0,4.0,2.0,5,10223.95,0,6,3,1,3,3,3,3,True,False,0.5722,Medium
EMP00078,Amanda Morgan,36,Male,Married,Sales,Manager,3,5.0,19.0,5.0,0.0,4,6309.56,1,4,2,4,4,2,4,3,False,False,0.0208,Low
EMP00079,Michael Parker,34,Male,Married,Research & Development,Laboratory Technician,3,1.0,1.0,0.0,0.0,1,8977.08,3,2,6,1,3,3,3,3,False,False,0.1189,Low
EMP00080,Jack Rogers,43,Male,Married,Sales,Manager,3,3.0,3.0,3.0,1.0,3,7977.82,1,2,8,2,3,2,4,3,False,False,0.1176,Low
EMP00081,Shirley Thompson,56,Female,Married,IT,Manager,3,2.0,2.0,2.0,1.0,4,8319.46,0,3,3,2,2,3,2,3,False,False,0.2303,Low
EMP00082,Angela Mitchell,40,Male,Married,Human Resources,Human Resources,4,6.0,10.0,6.0,1.0,3,9497.11,0,5,1,3,3,2,4,3,False,False,0.0369,Low
EMP00083,Debra Garcia,33,Male,Single,Research & Development,Laboratory Technician,4,1.0,1.0,1.0,0.0,0,8574.24,1,2,5,3,3,1,3,3,False,False,0.1336,Low
EMP00084,Margaret Gonzalez,43,Male,Married,Sales,Sales Representative,4,15.0,15.0,2.0,0.0,0,10775.03,1,5,11,4,3,2,4,3,False,False,0.01,Low
EMP00085,Ryan White,22,Male,Married,Research & Development,Manager,2,0.0,2.0,0.0,0.0,3,8981.05,0,3,4,2,3,4,2,4,False,True,0.3206,Low
EMP00086,Mark Green,37,Female,Married,Research & Development,Healthcare Representative,4,2.0,2.0,0.0,0.0,0,9868.65,0,2,2,1,1,4,3,3,False,True,0.1171,Low
EMP00087,Barbara Clark,54,Male,Single,Finance,Manager,1,1.0,3.0,0.0,0.0,3,9752.1,1,5,6,4,3,2,2,3,False,False,0.1411,Low
EMP00088,Amy Clark,38,Male,Married,Human Resources,Human Resources,2,8.0,13.0,1.0,1.0,4,10529.72,0,5,11,3,3,4,2,3,False,False,0.0777,Low
EMP00089,Pamela Ward,37,Female,Single,IT,Manager,3,10.0,25.0,10.0,0.0,3,12819.79,1,2,5,4,2,3,1,3,False,False,0.0757,Low
EMP00090,Mary Garcia,37,Male,Divorced,Research & Development,Healthcare Representative,3,0.0,23.0,0.0,0.0,4,14309.78,1,2,3,3,3,2,3,3,True,False,0.2496,Low
EMP00091,Timothy Clark,33,Male,Married,Sales,Sales Executive,2,1.0,1.0,1.0,0.0,2,5747.9,2,6,6,2,3,2,3,4,False,True,0.1392,Low
EMP00092,Frank Anderson,39,Male,Divorced,Finance,Finance Analyst,1,3.0,3.0,2.0,2.0,6,7885.73,0,4,6,3,3,3,3,3,True,False,0.3421,Low
EMP00093,Emily Smith,43,Male,Married,Marketing,Marketing Analyst,3,7.0,11.0,4.0,2.0,3,8779.35,0,3,17,2,3,4,2,3,True,False,0.3699,Medium
EMP00094,Donald Nelson,34,Female,Single,Human Resources,Manager,3,1.0,9.0,1.0,0.0,3,6695.72,0,3,1,2,3,1,2,3,True,False,0.7948,High
EMP00095,Daniel Roberts,18,Male,Married,Marketing,Marketing Manager,1,0.0,4.0,0.0,0.0,0,7338.48,1,2,13,4,3,1,3,3,False,False,0.143,Low
EMP00096,Sandra Mitchell,41,Male,Single,Research & Development,Healthcare Representative,3,2.0,19.0,2.0,2.0,6,12739.09,0,6,29,1,2,4,3,3,False,True,0.4681,Medium
EMP00097,Stephanie Garcia,56,Female,Divorced,Research & Development,Research Scientist,3,1.0,1.0,1.0,1.0,0,7711.35,1,2,2,3,3,3,3,3,False,False,0.0414,Low
EMP00098,Karen Jackson,33,Male,Divorced,Research & Development,Laboratory Technician,3,3.0,10.0,0.0,0.0,1,12691.71,1,1,3,3,4,1,3,3,True,False,0.1489,Low
EMP00099,Scott Young,23,Male,Married,Sales,Manager,5,3.0,3.0,1.0,0.0,2,9891.86,0,4,5,4,3,4,2,3,False,False,0.0721,Low
EMP00100,Helen King,43,Female,Married,Sales,Manager,3,7.0,7.0,1.0,0.0,1,9189.81,1,3,25,2,3,3,3,3,False,False,0.0507,Low
EMP00101,Jason Kelly,52,Male,Married,Sales,Sales Representative,5,2.0,4.0,1.0,1.0,3,7526.62,1,3,5,4,3,1,3,3,False,True,0.0589,Low
EMP00102,Alexander Flores,41,Female,Divorced,Human Resources,Human Resources,1,5.0,38.0,0.0,0.0,2,12805.19,1,4,3,4,1,4,2,3,False,False,0.0365,Low
EMP00103,Anthony Wright,52,Male,Single,Research & Development,Manager,1,3.0,6.0,3.0,0.0,4,8754.57,2,4,29,4,3,3,3,3,False,False,0.0635,Low
EMP00104,Edward Johnson,44,Female,Married,Research & Development,Manager,4,3.0,37.0,3.0,1.0,1,16328.2,1,3,4,1,3,2,3,3,False,False,0.0724,Low
EMP00105,Rebecca Evans,43,Male,Married,IT,Manager,4,2.0,2.0,2.0,0.0,2,8497.45,1,2,4,3,2,3,3,3,True,False,0.2758,Low
EMP00106,Timothy Scott,32,Male,Divorced,Sales,Sales Representative,3,1.0,14.0,0.0,0.0,1,9075.73,0,4,22,2,4,4,3,3,False,True,0.1027,Low
EMP00107,Matthew Morales,39,Female,Divorced,Research & Development,Laboratory Technician,2,3.0,12.0,0.0,0.0,0,9875.41,0,2,3,2,3,1,1,3,False,False,0.1628,Low
EMP00108,Steven Kim,36,Male,Divorced,Marketing,Marketing Manager,4,0.0,18.0,0.0,0.0,2,12671.75,3,5,12,3,4,2,3,3,True,False,0.1814,Low
EMP00109,Mary Gomez,36,Female,Married,Sales,Sales Executive,5,2.0,11.0,0.0,0.0,5,9032.06,1,3,29,3,3,2,4,3,False,False,0.0855,Low
EMP00110,Jennifer Edwards,34,Female,Single,Sales,Sales Executive,5,6.0,11.0,0.0,0.0,1,10265.48,1,2,2,4,4,4,3,3,False,False,0.0139,Low
EMP00111,Thomas Lewis,39,Female,Married,Sales,Manager,3,0.0,10.0,0.0,0.0,2,8496.21,1,5,7,1,3,1,3,3,True,True,0.6249,High
EMP00112,Barbara Anderson,25,Female,Married,Sales,Manager,4,2.0,40.0,2.0,2.0,4,17736.13,0,3,1,3,3,1,2,4,True,False,0.4903,Medium
EMP00113,Joseph Lee,44,Male,Married,IT,Manager,4,2.0,2.0,2.0,1.0,4,7532.02,3,2,5,4,2,2,3,3,False,False,0.0708,Low
EMP00114,Diane Morales,29,Female,Single,Marketing,Marketing Manager,4,0.0,0.0,0.0,0.0,2,6061.62,0,3,5,1,1,1,3,4,False,True,0.8744,High
EMP00115,William White,34,Male,Married,Human Resources,Manager,5,0.0,11.0,0.0,0.0,3,9865.94,0,2,10,3,2,4,4,3,False,False,0.1357,Low
EMP00116,Jonathan Adams,39,Male,Single,IT,Manager,4,1.0,1.0,1.0,1.0,4,10543.14,1,3,3,2,3,3,3,3,False,True,0.3185,Low
EMP00117,Lisa Allen,28,Female,Divorced,Marketing,Marketing Manager,3,10.0,11.0,3.0,0.0,4,7594.97,0,2,27,1,4,4,3,4,False,False,0.1501,Low
EMP00118,Debra Gomez,19,Female,Single,Sales,Sales Representative,3,1.0,3.0,1.0,1.0,3,8501.15,0,3,7,3,3,4,2,4,True,True,0.7243,High
EMP00119,Andrew Morgan,33,Male,Married,IT,Software Engineer,3,0.0,0.0,0.0,0.0,5,10759.68,0,3,1,3,4,3,3,3,False,False,0.1007,Low
EMP00120,Andrew Torres,24,Female,Single,Research & Development,Laboratory Technician,4,5.0,14.0,0.0,0.0,1,9837.01,0,0,3,4,3,3,3,4,False,False,0.1003,Low
EMP00121,Larry King,43,Male,Married,Marketing,Marketing Manager,3,0.0,0.0,0.0,0.0,1,9726.89,2,3,9,3,3,2,3,3,False,False,0.1111,Low
EMP00122,Susan Thomas,26,Female,Divorced,IT,Software Engineer,1,2.0,2.0,0.0,0.0,3,5713.36,1,2,5,4,3,3,4,3,False,False,0.0475,Low
EMP00123,Ronald Sanchez,50,Male,Single,Research & Development,Research Scientist,3,4.0,4.0,4.0,0.0,5,8851.97,1,4,3,2,3,4,4,4,False,False,0.1322,Low
EMP00124,Elizabeth Bailey,36,Male,Single,Sales,Sales Executive,5,1.0,1.0,1.0,0.0,4,8285.76,0,2,29,2,2,4,3,3,False,True,0.431,Medium
EMP00125,Amy Sanchez,37,Female,Single,Sales,Sales Executive,4,18.0,24.0,10.0,1.0,4,11559.13,1,3,3,3,2,1,4,3,True,True,0.2098,Low
EMP00126,Thomas Gutierrez,19,Male,Married,Research & Development,Laboratory Technician,2,1.0,9.0,1.0,1.0,2,9876.41,1,6,8,1,2,2,3,3,False,False,0.3856,Medium
EMP00127,Robert Stewart,38,Male,Married,Marketing,Marketing Manager,1,2.0,20.0,2.0,2.0,2,12273.72,0,2,1,4,2,2,3,3,False,False,0.0716,Low
EMP00128,Kathleen Wilson,36,Female,Single,IT,Manager,3,4.0,11.0,2.0,0.0,2,12057.6,0,3,3,3,3,2,3,4,False,False,0.1065,Low
EMP00129,Joseph Robinson,25,Female,Married,Sales,Sales Executive,3,3.0,40.0,3.0,1.0,3,15464.67,0,2,13,4,2,1,3,3,False,False,0.1493,Low
EMP00130,Robert Roberts,37,Female,Single,Research & Development,Manager,1,7.0,7.0,3.0,2.0,0,7115.37,1,2,10,2,2,3,3,3,False,False,0.1339,Low
EMP00131,Nancy Hernandez,33,Female,Divorced,Research & Development,Manager,5,0.0,0.0,0.0,0.0,4,6426.78,0,2,29,4,2,2,4,3,False,True,0.3115,Low
EMP00132,Maria Rodriguez,35,Female,Divorced,Sales,Manager,3,0.0,1.0,0.0,0.0,2,7009.52,0,4,13,4,3,2,3,3,False,True,0.1879,Low
EMP00133,Donald Parker,37,Male,Divorced,Sales,Sales Representative,3,0.0,8.0,0.0,0.0,0,8950.51,0,2,10,3,3,1,3,3,True,False,0.3653,Medium
EMP00134,Brandon Mitchell,32,Male,Divorced,Research & Development,Healthcare Representative,4,0.0,4.0,0.0,0.0,2,10057.27,0,0,3,1,3,1,3,3,True,True,0.7413,High
EMP00135,Jeffrey Jackson,39,Female,Married,Operations,Manufacturing Director,3,1.0,1.0,0.0,0.0,1,8621.38,1,6,7,2,3,3,3,4,False,False,0.0753,Low
EMP00136,Jeffrey Kim,36,Male,Married,Research & Development,Research Scientist,3,2.0,2.0,1.0,1.0,2,8302.65,2,3,4,2,3,2,3,3,False,False,0.1253,Low
EMP00137,Jerry Garcia,41,Male,Married,Research & Development,Research Scientist,3,5.0,6.0,2.0,1.0,4,7488.08,0,0,1,2,3,4,3,3,True,False,0.2837,Low
EMP00138,Raymond Cook,32,Male,Single,Finance,Manager,5,5.0,7.0,3.0,2.0,4,12915.64,0,3,1,1,2,3,3,3,False,True,0.3069,Low
EMP00139,Jerry Harris,27,Male,Single,Research & Development,Healthcare Representative,2,1.0,27.0,1.0,0.0,3,12225.07,2,2,3,2,3,3,3,3,False,False,0.2171,Low
EMP00140,Jerry Clark,30,Male,Single,Operations,Manufacturing Director,4,0.0,0.0,0.0,0.0,1,7732.02,0,1,3,3,3,4,3,3,False,True,0.1894,Low
EMP00141,Patrick Green,49,Female,Married,Operations,Operations Manager,3,2.0,4.0,0.0,0.0,4,7629.65,0,1,7,3,3,3,3,3,False,False,0.1212,Low
EMP00142,Jennifer Reed,45,Female,Married,Sales,Sales Executive,4,2.0,7.0,2.0,1.0,0,6543.21,0,2,13,2,4,1,4,3,False,False,0.1053,Low
EMP00143,Mary Martin,47,Male,Single,Research & Development,Healthcare Representative,4,1.0,1.0,1.0,1.0,1,9322.62,1,3,4,4,3,1,3,3,False,True,0.1878,Low
EMP00144,Carol Allen,48,Male,Single,Research & Development,Manager,1,0.0,11.0,0.0,0.0,0,10594.59,0,1,2,3,3,3,2,3,True,True,0.4242,Medium
EMP00145,Daniel Hall,32,Female,Married,Sales,Sales Executive,2,7.0,7.0,3.0,0.0,3,8310.85,1,2,4,3,3,2,3,3,False,False,0.0407,Low
EMP00146,Cynthia Sanchez,39,Female,Single,Sales,Sales Representative,2,6.0,6.0,2.0,2.0,4,9211.49,1,1,29,4,2,2,3,3,False,False,0.2244,Low
EMP00147,Samuel Davis,37,Female,Divorced,Human Resources,Human Resources,3,10.0,10.0,8.0,0.0,4,6093.52,1,5,4,4,1,1,3,3,False,False,0.086,Low
EMP00148,Ronald Carter,42,Female,Single,Research & Development,Healthcare Representative,4,3.0,3.0,3.0,0.0,0,10611.38,1,1,1,4,2,4,3,3,False,False,0.0434,Low
EMP00149,Karen Nguyen,34,Male,Married,Sales,Manager,1,4.0,4.0,4.0,1.0,1,7571.46,1,3,11,4,2,3,3,3,False,False,0.0396,Low
EMP00150,Nicholas Rodriguez,37,Female,Married,Sales,Sales Executive,3,1.0,1.0,1.0,0.0,4,6574.23,1,4,12,4,3,3,3,3,True,False,0.3149,Low
EMP00151,Mark White,37,Female,Single,IT,Manager,4,2.0,7.0,2.0,2.0,3,11465.0,1,2,28,3,3,2,2,3,True,True,0.7059,High
EMP00152,Benjamin Harris,41,Male,Married,Sales,Sales Executive,5,3.0,4.0,3.0,2.0,3,10479.76,2,4,4,4,3,3,3,3,True,True,0.1262,Low
EMP00153,Kevin Cruz,42,Female,Married,Sales,Manager,3,3.0,3.0,1.0,0.0,1,8349.52,1,6,2,3,3,2,3,3,False,False,0.0558,Low
EMP00154,Patricia Cruz,37,Female,Divorced,Research & Development,Healthcare Representative,4,1.0,1.0,1.0,0.0,5,8485.28,0,2,3,3,3,2,2,3,False,False,0.2245,Low
EMP00155,William Young,38,Female,Married,Operations,Manufacturing Director,3,0.0,0.0,0.0,0.0,3,6074.84,0,0,3,1,2,1,3,3,True,False,0.8358,High
EMP00156,Nicole Ortiz,39,Female,Single,Sales,Manager,2,2.0,2.0,0.0,0.0,3,8032.65,0,3,1,2,2,3,2,3,True,True,0.7062,High
EMP00157,Andrew Bailey,51,Female,Single,Finance,Manager,1,2.0,2.0,2.0,2.0,4,7692.66,1,4,3,3,3,4,3,3,False,False,0.1449,Low
